count,word
83939,pink
77834,bundle
76890,new
73412,size
63445,lularoe
56397,black
46471,nike
44374,vs
40534,secret
39419,dress
39199,victoria
38887,leggings
38758,shirt
38367,nwt
37578,free
37114,set
30380,iphone
26524,case
25487,shorts
24522,women
22588,white
22399,men
22312,jeans
21025,ship
20920,bra
20324,bag
19639,jacket
19424,blue
18564,large
18507,hold
18425,small
18191,sz
18135,baby
18000,gold
17980,lot
17236,tank
17098,shoes
16712,boots
16281,os
15704,american
15587,tc
15427,xl
15214,tee
15075,medium
14991,pants
14913,hoodie
14860,brand
13999,red
13956,lululemon
13865,plus
13242,rae
13157,dunn
13053,girl
12849,michael
12825,sweater
12808,kors
12632,girls
12593,body
12214,xs
12204,10
12043,coach
11975,long
11929,reserved
11876,purse
11843,lace
11685,necklace
11534,palette
11507,wallet
11483,jordan
11359,mini
11296,adidas
11124,silver
11006,boys
10896,high
10751,vintage
10751,disney
10540,sleeve
10369,shipping
10344,lip
10256,ring
9963,6s
9879,sale
9824,makeup
9695,floral
9519,12
9483,pop
9441,air
9304,bracelet
9199,eagle
9144,toddler
9142,funko
9088,navy
9035,hat
8953,leather
8902,skirt
8731,green
8696,sandals
8538,watch
8499,zip
8483,nwot
8367,authentic
8364,crop
8312,grey
8285,face
8169,bikini
7981,earrings
7974,kit
7941,armour
7839,polo
7583,brown
7581,rm
7423,lipstick
7314,rose
7108,lauren
7101,perfume
7008,light
6934,kate
6930,piece
6912,foundation
6814,purple
6781,hollister
6779,cream
6734,spade
6707,box
6655,21
6614,outfit
6597,kids
6550,tote
6543,star
6533,fit
6488,sports
6417,brush
6367,pro
6341,apple
6340,kylie
6315,converse
6261,game
6241,gray
6240,ralph
6226,backpack
6180,matte
6097,sweatshirt
5997,forever
5913,hair
5840,bath
5795,urban
5743,boy
5710,love
5704,xbox
5685,cute
5683,nintendo
5674,skinny
5626,irma
5610,eyeshadow
5599,vans
5579,mac
5496,super
5470,old
5455,mens
5428,jersey
5389,socks
5342,north
5239,pack
5177,classic
5164,galaxy
5134,bnwt
5117,beauty
5110,blouse
5102,faced
